Field,Description
Transaction ID,Unique identifier for an individual train ticket purchase
Date of Purchase,Date the ticket was purchased
Time of Purchase,Time the ticket was purchased
Purchase Type,Whether the ticket was purchased online or directly at a train station
Payment Method,"Payment method used to purchase the ticket (Contactles, Credit Card, or Debit Card)"
Railcard,"Whether the passenger is a National Railcard holder (Adult, Senior, or Disabled) or not (None). Railcard holders get 1/3 off their ticket purchases."
Ticket Class,Seat class for the ticket (Standard or First)
Ticket Type,When you bought or can use the ticket. Advance tickets are 1/2 off and must be purchased at least a day prior to departure. Off-Peak tickets are 1/4 off and must be used outside of peak hours (weekdays between 6-8am and 4-6pm). Anytime tickets are full price and can be bought and used at any time during the day.
Price,Final cost of the ticket
Departure Station,Station to board the train
Arrival Destination,Station to exit the train
Date of Journey,Date the train departed
Departure Time,Time the train departed
Arrival Time,Time the train was scheduled to arrive at its destination (can be on the day after departure)
Actual Arrival Time,Time the train arrived at its destination (can be on the day after departure)
Journey Status,"Whether the train was on time, delayed, or cancelled"
Reason for Delay,Reason for the delay or cancellation
Refund Request,Whether the passenger requested a refund after a delay or cancellation

Поле,описание
Идентификатор транзакции, уникальный идентификатор для покупки отдельного билета на поезд
Дата покупки, Дата приобретения билета
Время покупки, Время приобретения билета
Тип покупки, независимо от того был ли билет приобретен онлайн или непосредственно на железнодорожной станции.
Способ оплаты: "Способ оплаты, использованный для приобретения билета (контактные данные кредитная карта или дебетовая карта)"
Railcard, "Независимо от того, является ли пассажир владельцем национальной карты Railcard (взрослый, пенсионер или инвалид) или нет (Нет). Владельцы Railcard получают скидку в размере 1/3 от стоимости приобретенного билета."
Класс билета, количество мест в билете (стандартное или первое)
Тип билета, когда вы купили билет или можете им воспользоваться. На предварительные билеты предоставляется скидка в размере 1/2 и их необходимо приобрести как минимум за сутки до отправления. Билеты на внепиковые часы имеют скидку 1/4 и их необходимо использовать в нерабочее время (в будние дни с 18:00 до 16:00). Билеты на любое время стоят полную стоимость их можно приобрести и использовать в любое время в течение дня.
Цена, окончательная стоимость билета
Станция отправления, станция для посадки на поезд
Пункт прибытия, станция для выхода из поезда
Дата поездки, дата отправления поезда
Время отправления, Время отправления поезда
Время прибытия, когда поезд должен был прибыть в пункт назначения по расписанию (может быть на следующий день после отправления)
Фактическое время прибытия, когда поезд прибыл в пункт назначения (может быть на следующий день после отправления)
Статус поездки, "Прибыл ли поезд вовремя, задержался или отменен"
Причина задержки, обоснование причины задержки или отмены рейса
Запрос на возврат средств, запросил ли пассажир возврат средств после задержки или отмены рейса
